Time (s),Flame height (m)
180.2280702,1.161363636
180.2631579,1.15
180.2982456,0.820454545
180.3333333,0.988636364
180.3684211,0.920454545
180.4035088,0.915909091
180.4385965,1.015909091
180.4736842,0.863636364
180.5087719,0.618181818
180.5438596,0.638636364
180.5789474,0.75
180.6140351,0.75
180.6491228,0.893181818
180.6842105,0.986363636
180.7192982,1.170454545
180.754386,1.361363636
180.7894737,1.140909091
180.8245614,1.145454545
180.8596491,0.518181818
180.8947368,0.536363636
180.9298246,0.586363636
180.9649123,0.928003247
199,1.025
199.0350877,0.918181818
199.0701754,0.825
199.1052632,0.947727273
199.1403509,0.906818182
199.1754386,0.681818182
199.2105263,0.827272727
199.245614,0.920454545
199.2807018,0.927272727
199.3157895,1.011363636
199.3508772,1.170454545
199.3859649,1.011363636
199.4210526,0.584090909
199.4561404,0.627272727
199.4912281,0.745454545
199.5263158,0.868181818
199.5614035,0.931818182
199.5964912,0.979545455
199.6315789,0.963636364
199.6666667,0.856818182
199.7017544,0.681818182
199.7368421,0.793181818
199.7719298,0.856818182
199.8070175,1.018181818
199.8421053,0.872727273
199.877193,0.743181818
199.9122807,0.829545455
199.9473684,0.709090909
199.9824561,0.761363636
200.0175439,0.938636364
200.0526316,1.093181818
200.0877193,0.990909091
200.122807,1.090909091
200.1578947,1.131818182
200.1929825,1.275
200.2280702,1.447727273
200.2631579,0.668181818
200.2982456,0.736363636
200.3333333,0.727272727
200.3684211,0.645454545
200.4035088,0.663636364
200.4385965,0.668181818
200.4736842,0.775
200.5087719,1.002272727
200.5438596,0.997727273
200.5789474,1.197727273
200.6140351,1.245454545
200.6491228,0.536363636
200.6842105,0.559090909
200.7192982,0.593181818
200.754386,0.645454545
200.7894737,0.727272727
200.8245614,0.759090909
200.8596491,0.747727273
200.8947368,0.627272727
200.9298246,0.665909091
200.9649123,0.859862013
219,1.1
219.0350877,0.863636364
219.0701754,0.786363636
219.1052632,0.852272727
219.1403509,0.85
219.1754386,0.979545455
219.2105263,1
219.245614,0.938636364
219.2807018,0.590909091
219.3157895,0.513636364
219.3508772,0.625
219.3859649,0.704545455
219.4210526,0.677272727
219.4561404,0.831818182
219.4912281,0.918181818
219.5263158,0.920454545
219.5614035,0.920454545
219.5964912,0.75
219.6315789,0.909090909
219.6666667,1.118181818
219.7017544,1.243181818
219.7368421,1.386363636
219.7719298,0.670454545
219.8070175,0.779545455
219.8421053,0.940909091
219.877193,1.013636364
219.9122807,1.202272727
219.9473684,1.172727273
219.9824561,1.031818182
220.0175439,0.854545455
220.0526316,0.781818182
220.0877193,0.927272727
220.122807,0.870454545
220.1578947,0.6
220.1929825,0.731818182
220.2280702,0.836363636
220.2631579,0.802272727
220.2982456,0.920454545
220.3333333,1.052272727
220.3684211,1.068181818
220.4035088,1.184090909
220.4385965,1.365909091
220.4736842,0.659090909
220.5087719,0.829545455
220.5438596,0.936363636
220.5789474,0.9
220.6140351,0.836363636
220.6491228,0.772727273
220.6842105,0.809090909
220.7192982,0.929545455
220.754386,1.118181818
220.7894737,0.856818182
220.8245614,0.990909091
220.8596491,0.847727273
220.8947368,0.954545455
220.9298246,0.602272727
220.9649123,0.898741883
239,0.815909091
239.0350877,0.788636364
239.0701754,0.745454545
239.1052632,0.822727273
239.1403509,0.868181818
239.1754386,0.965909091
239.2105263,1.093181818
239.245614,1.136363636
239.2807018,1.222727273
239.3157895,1.268181818
239.3508772,0.754545455
239.3859649,0.881818182
239.4210526,0.938636364
239.4561404,1.05
239.4912281,1.215909091
239.5263158,0.593181818
239.5614035,0.518181818
239.5964912,0.590909091
239.6315789,0.665909091
239.6666667,0.759090909
239.7017544,0.845454545
239.7368421,0.836363636
239.7719298,0.961363636
239.8070175,1.038636364
239.8421053,0.834090909
239.877193,1.004545455
239.9122807,0.863636364
239.9473684,0.620454545
239.9824561,0.65
240.0175439,0.927272727
240.0526316,0.672727273
240.0877193,0.768181818
240.122807,0.772727273
240.1578947,0.856818182
240.1929825,0.984090909
240.2280702,1.118181818
240.2631579,1.159090909
240.2982456,1.045454545
240.3333333,1.052272727
240.3684211,0.786363636
240.4035088,0.706818182
240.4385965,0.786363636
240.4736842,0.870454545
240.5087719,0.609090909
240.5438596,0.631818182
240.5789474,0.668181818
240.6140351,0.715909091
240.6491228,0.881818182
240.6842105,0.904545455
240.7192982,0.870454545
240.754386,0.852272727
240.7894737,0.981818182
240.8245614,0.654545455
240.8596491,0.793181818
240.8947368,0.938636364
240.9298246,0.559090909
240.9649123,0.855681818
259,1.029545455
259.0350877,0.720454545
259.0701754,0.736363636
259.1052632,0.595454545
259.1403509,0.7
259.1754386,0.55
259.2105263,0.581818182
259.245614,0.688636364
259.2807018,0.784090909
259.3157895,0.870454545
259.3508772,1.063636364
259.3859649,1.234090909
259.4210526,1.347727273
259.4561404,1.481818182
259.4912281,0.788636364
259.5263158,0.620454545
259.5614035,0.640909091
259.5964912,0.727272727
259.6315789,0.852272727
259.6666667,0.981818182
259.7017544,0.659090909
259.7368421,0.784090909
259.7719298,0.738636364
259.8070175,0.736363636
259.8421053,0.85
259.877193,0.959090909
259.9122807,1.154545455
259.9473684,1.186363636
259.9824561,1.075
260.0175439,0.579545455
260.0526316,0.656818182
260.0877193,0.7
260.122807,0.804545455
260.1578947,0.877272727
260.1929825,0.990909091
260.2280702,1.125
260.2631579,1.3
