Test MM3,
Time (s),Flame Heights (m)
379.6071429,1.593037975
379.6428571,1.619620253
379.6785714,1.613924051
379.7142857,1.613924051
379.75,1.617721519
379.7857143,1.564556962
379.8214286,1.528481013
379.8571429,1.615822785
379.8928571,1.613924051
379.9285714,1.619620253
379.9642857,1.520886076
380,1.549367089
380.0357143,1.5
380.0714286,1.5
380.1071429,1.615822785
380.1428571,1.619620253
380.1785714,1.613924051
380.2142857,1.471518987
380.25,1.619620253
380.2857143,1.608227848
380.3214286,1.619620253
380.3571429,1.619620253
380.3928571,1.619620253
380.4285714,1.619620253
380.4642857,1.617721519
380.5,1.619620253
380.5357143,1.566455696
380.5714286,1.547468354
380.6071429,1.615822785
380.6428571,1.562658228
380.6785714,1.619620253
380.7142857,1.619620253
380.75,1.619620253
380.7857143,1.619620253
380.8214286,1.619620253
380.8571429,1.619620253
380.8928571,1.617721519
380.9285714,1.617721519
380.9642857,1.285443038
399,1.617721519
399.0357143,1.619620253
399.0714286,1.619620253
399.1071429,1.613924051
399.1428571,1.615822785
399.1785714,1.615822785
399.2142857,1.613924051
399.25,1.615822785
399.2857143,1.615822785
399.3214286,1.615822785
399.3571429,1.615822785
399.3928571,1.615822785
399.4285714,1.617721519
399.4642857,1.615822785
399.5,1.612025316
399.5357143,1.613924051
399.5714286,1.619620253
399.6071429,1.615822785
399.6428571,1.613924051
399.6785714,1.331012658
399.7142857,1.331012658
399.75,1.615822785
399.7857143,1.492405063
399.8214286,1.613924051
399.8571429,1.615822785
399.8928571,1.617721519
399.9285714,1.619620253
399.9642857,1.619620253
400,1.532278481
400.0357143,1.412658228
400.0714286,1.412658228
400.1071429,1.43164557
400.1428571,1.391772152
400.1785714,1.558860759
400.2142857,1.551265823
400.25,1.619620253
400.2857143,1.617721519
400.3214286,1.615822785
400.3571429,1.613924051
400.3928571,1.615822785
400.4285714,1.613924051
400.4642857,1.613924051
400.5,1.579746835
400.5357143,1.429746835
400.5714286,1.574050633
400.6071429,1.617721519
400.6428571,1.613924051
400.6785714,1.615822785
400.7142857,1.615822785
400.75,1.619620253
400.7857143,1.615822785
400.8214286,1.619620253
400.8571429,1.619620253
400.8928571,1.450632911
400.9285714,1.406962025
400.9642857,1.414556962
419,1.615822785
