Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
489,52.46857763,20.66642725,0.228908385,317.6833333,0.968992248
492,52.11818428,20.66276357,0.229451456,317.85,0.969344609
495,52.87548603,20.65889636,0.230356575,319.15,0.964059197
498,53.40672755,20.66113527,0.233071932,318.9166667,0.967582805
501,52.98851614,20.66764847,0.232890908,318.0833333,0.966878083
504,52.54769871,20.66540956,0.228546337,317.85,0.96546864
507,52.5363957,20.66256004,0.231442718,318.35,0.967230444
510,52.49118365,20.66785201,0.233615003,318.1833333,0.966878083
513,52.46857763,20.66439187,0.23343398,318.6833333,0.965821001
516,52.57030473,20.6623565,0.232528861,318.4833333,0.966525722
519,52.54769871,20.65889636,0.231442718,319.0166667,0.96969697
522,53.01112216,20.66154235,0.230356575,318.75,0.966525722
525,52.98851614,20.66805554,0.229270432,318.6833333,0.966525722
528,52.55900172,20.66520602,0.229270432,318.8166667,0.967935166
531,52.57030473,20.65869283,0.230537599,318.9833333,0.967230444
534,52.54769871,20.65930344,0.231261694,318.7166667,0.966525722
537,53.31630346,20.66785201,0.22963248,318.35,0.967230444
540,53.32760647,20.66439187,0.231261694,318.9166667,0.963354475
543,52.89809205,20.65971051,0.23108067,319.0166667,0.966878083
546,52.88678904,20.66052466,0.232528861,319.7166667,0.965116279
549,52.98851614,20.66032113,0.232528861,319.15,0.966878083
552,52.54769871,20.65991405,0.234339099,319.1833333,0.964059197
555,52.54769871,20.66052466,0.232709885,318.8833333,0.964763918
558,52.57030473,20.66317065,0.228546337,319.1833333,0.965116279
561,53.40672755,20.66418833,0.230718623,320.15,0.963354475
564,52.54769871,20.66317065,0.232347837,319.1833333,0.964763918
567,52.0277602,20.66093174,0.235425241,319.1166667,0.96546864
570,52.54769871,20.65930344,0.231261694,319.3833333,0.966878083
573,52.55900172,20.66296711,0.233615003,319.65,0.966525722
576,53.32760647,20.66378126,0.227641218,319.15,0.965116279
579,52.9433041,20.66093174,0.232528861,320.2833333,0.963002114
582,52.49118365,20.66296711,0.23108067,318.5833333,0.96546864
585,52.87548603,20.66337419,0.23108067,319.55,0.964763918
588,53.31630346,20.66479895,0.229270432,319.35,0.962297393
591,52.98851614,20.65889636,0.22963248,319.95,0.963002114
594,52.98851614,20.65869283,0.228365313,319.4166667,0.965821001
597,53.42933357,20.66276357,0.232347837,319.65,0.964059197
600,53.40672755,20.66520602,0.229813504,318.5166667,0.965821001
603,53.31630346,20.66215296,0.230537599,319.6833333,0.964059197
606,52.54769871,20.65808221,0.233252956,320.1166667,0.963706836
609,52.81897097,20.66174589,0.232528861,319.3166667,0.965821001
612,52.62681978,20.66459541,0.229813504,319.1166667,0.963354475
615,52.10688127,20.66276357,0.230356575,319.1833333,0.963002114
618,51.67736685,20.65950698,0.230899647,319.7833333,0.963002114
621,52.58160774,20.66581663,0.229994528,319.2833333,0.965821001
624,54.28836242,20.66642725,0.229813504,320.0833333,0.960887949
627,53.83624197,20.6639848,0.230718623,319.45,0.962649753
630,53.858848,20.66439187,0.226917123,319.4166667,0.962649753
633,53.79102993,20.66500248,0.227279171,319.5833333,0.964411557
636,54.27705941,20.66642725,0.228365313,319.55,0.962297393
639,54.62745275,20.66337419,0.230537599,320.1166667,0.963706836
642,54.18663532,20.66194942,0.230356575,319.6166667,0.964763918
645,53.858848,20.66174589,0.230718623,319.75,0.963706836
648,53.40672755,20.66703786,0.230899647,319.6833333,0.963706836
