Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
1026,69.78479067,20.29983584,0.583628645,363.75,0.911167513
1029,69.90912379,20.30146418,0.584897212,363.25,0.911530094
1032,69.79609368,20.30309253,0.585440884,364.25,0.907904278
1035,69.79609368,20.3039067,0.579822942,364.6833333,0.908629442
1038,70.2256081,20.30757047,0.57927927,363.7166667,0.911167513
1041,69.88651777,20.31917241,0.570761746,362.85,0.904278463
1044,70.67772855,20.32324326,0.56913073,362.7166667,0.903190718
1047,71.09593996,20.3262964,0.566049923,361.7166667,0.904278463
1050,70.74554661,20.33464166,0.556626279,361.5833333,0.903915881
1053,70.3273352,20.34115503,0.553364248,359.8833333,0.895213923
1056,70.2256081,20.34013731,0.553364248,361.75,0.89448876
1059,69.05009495,20.33749126,0.551552009,362.2166667,0.893763597
1062,68.93706483,20.33728772,0.550827113,361.7833333,0.89231327
1065,69.66045755,20.33932314,0.547746306,360.5166667,0.891225526
1068,69.35527625,20.34135857,0.54792753,359.6833333,0.887962292
1071,69.80739669,20.33973023,0.544303052,360.7833333,0.88071066
1074,69.80739669,20.34359754,0.54285326,359.6166667,0.887962292
1077,70.65512252,20.34644714,0.53868511,359.55,0.881798405
1080,70.06736595,20.34726131,0.539410006,360.9166667,0.882523568
1083,69.88651777,20.34888966,0.539591229,358.15,0.883248731
1086,69.80739669,20.34990737,0.53777899,360.05,0.881073241
1089,69.83000271,20.35438531,0.5317986,357.95,0.879985497
1092,69.83000271,20.35540302,0.531617376,358.9833333,0.874546773
1095,70.25951714,20.35703137,0.530348809,358.45,0.87164612
1098,70.31603219,20.35967742,0.52763045,358.8833333,0.872008702
1101,70.75684962,20.36028805,0.529261465,357.75,0.869470631
1104,70.67772855,20.36496954,0.527086778,357.4833333,0.870195794
1107,70.67772855,20.36598725,0.523281076,359.0166667,0.859318347
1110,70.75684962,20.36700496,0.524730867,357.95,0.863306744
1113,69.90912379,20.36395182,0.524368419,359.4833333,0.861856418
1116,69.03879193,20.36089868,0.527268002,357.9166667,0.86475707
1119,69.02748892,20.36211994,0.529805137,359.05,0.862944162
1122,69.03879193,20.36171285,0.524187195,358.15,0.859318347
1125,69.03879193,20.35927034,0.52853657,357.85,0.85786802
1128,69.02748892,20.36252702,0.523643524,357.4166667,0.858593183
1131,69.83000271,20.36273057,0.522374956,358.45,0.861493836
1134,69.38918528,20.36089868,0.523643524,358.35,0.858230602
1137,68.5979745,20.35906679,0.523643524,358.1166667,0.853517041
1140,68.95967086,20.35906679,0.525455763,357.4166667,0.851341552
1143,69.03879193,20.35703137,0.52672433,357.05,0.853517041
1146,68.97097387,20.36049159,0.525636987,355.65,0.856417694
1149,68.53015643,20.36191639,0.528899018,358.25,0.855329949
1152,68.62058052,20.36110222,0.527268002,357.95,0.85315446
1155,68.5979745,20.35886325,0.525999435,357.7166667,0.849528644
1158,69.79609368,20.35886325,0.533792064,358.25,0.854242204
1161,69.79609368,20.35804908,0.527268002,357.1833333,0.860768673
1164,69.09530699,20.35703137,0.525999435,357.0833333,0.85786802
1167,69.79609368,20.35845617,0.525093315,357.9166667,0.858230602
1170,69.36657926,20.36150931,0.518931701,355.15,0.857505439
1173,69.47960937,20.36313765,0.519294149,356.8833333,0.848440899
1176,69.03879193,20.36334119,0.519656597,356.9166667,0.852791878
1179,69.01618591,20.36110222,0.520019045,356.65,0.854967368
1182,68.92576182,20.35967742,0.518931701,356.8833333,0.850253807
1185,68.92576182,20.36252702,0.518569253,355.2166667,0.851341552
1188,69.03879193,20.36232348,0.518025582,356.5166667,0.85097897
1191,69.36657926,20.36496954,0.516757014,356.3833333,0.849891226
1194,69.78479067,20.36741205,0.520200269,356.0166667,0.849166062
1197,68.93706483,20.37026165,0.516394566,356.95,0.854604786
1200,68.60927751,20.37148291,0.515669671,355.85,0.852066715
1203,69.06139796,20.37392542,0.514763551,355.8833333,0.85097897
1206,69.37788227,20.36883685,0.51657579,357.1166667,0.849891226
1209,69.02748892,20.36639434,0.515125999,355.8166667,0.854967368
1212,68.92576182,20.36659788,0.518931701,356.1166667,0.858955765
1215,69.01618591,20.36904039,0.520743941,354.0166667,0.857505439
1218,69.35527625,20.37229708,0.512951312,354.2166667,0.850253807
1221,69.45700335,20.36965102,0.515850894,356.5833333,0.848078318
1224,69.03879193,20.36883685,0.513313759,354.95,0.850253807
1227,69.35527625,20.36639434,0.516032118,355.5166667,0.854604786
1230,69.05009495,20.36842976,0.514763551,355.3166667,0.854242204
1233,68.55276246,20.37148291,0.515307223,356.4833333,0.851704133
1236,69.05009495,20.37148291,0.516213342,356.0833333,0.849891226
1239,69.40048829,20.37229708,0.51657579,356.05,0.847715736
1242,68.95967086,20.36700496,0.51657579,357.15,0.849891226
1245,69.40048829,20.36456245,0.522012508,355.75,0.854967368
1248,69.49091238,20.36334119,0.522737404,356.0166667,0.858230602
1251,69.02748892,20.36211994,0.523281076,356.0166667,0.848078318
1254,68.53015643,20.36089868,0.523099852,355.7166667,0.849528644
1257,68.94836785,20.35825262,0.522374956,356.7833333,0.850253807
1260,68.62058052,20.35845617,0.523099852,357.35,0.850253807
1263,68.5979745,20.36191639,0.522012508,356.75,0.849891226
1266,70.24821412,20.36273057,0.524912091,355.45,0.849891226
1269,70.25951714,20.35662428,0.523281076,356.55,0.849166062
1272,70.23691111,20.35825262,0.522012508,356.7166667,0.852791878
1275,69.38918528,20.35988097,0.535604303,357.5166667,0.855329949
1278,69.03879193,20.35743845,0.528355346,356.8833333,0.854242204
1281,69.03879193,20.34848257,0.534698183,357.2166667,0.85786802
1284,70.24821412,20.34665068,0.534154512,356.9166667,0.859680928
1287,69.89782078,20.34298691,0.540497349,357.45,0.864031907
1290,69.37788227,20.34319046,0.540316125,358.2833333,0.865119652
1293,69.05009495,20.33993377,0.541765917,359.0166667,0.861856418
1296,69.83000271,20.33565937,0.546477739,358.75,0.86475707
1299,69.45700335,20.33118143,0.552095681,359.55,0.869470631
1302,69.79609368,20.32731412,0.560975653,360.0833333,0.873096447
1305,69.89782078,20.32446452,0.561338101,360.5166667,0.87382161
1308,69.46830636,20.31388029,0.57094297,361.35,0.872371284
1311,69.46830636,20.30227835,0.574748672,361.55,0.876359681
1314,69.02748892,20.29372956,0.583809869,362.3166667,0.874184191
1317,68.17976309,20.28884453,0.588159243,360.4166667,0.879985497
1320,68.51885342,20.28477367,0.594320857,361.1833333,0.875271936
